,symbols,date,close,open,max_price,min_price
3076,VHM,2022-01-10,85400.0,85500.0,87400.0,84600.0
3077,HPG,2022-01-10,45650.0,45850.0,46650.0,45500.0
3078,FPT,2022-01-10,92000.0,93200.0,93500.0,91900.0
3079,TCB,2022-01-10,48650.0,49500.0,49600.0,48650.0
3080,VHM,2022-01-07,85400.0,85500.0,86400.0,84300.0
3081,FPT,2022-01-07,93400.0,93100.0,93700.0,93100.0
3082,TCB,2022-01-07,49450.0,49900.0,50100.0,49400.0
3083,HPG,2022-01-07,45800.0,46100.0,46200.0,45650.0
3084,POW,2022-01-07,20150.0,19250.0,20350.0,19250.0
3085,TCB,2022-01-06,49900.0,50200.0,50400.0,49600.0
3086,FPT,2022-01-06,93500.0,93600.0,94000.0,93500.0
3087,VHM,2022-01-06,85300.0,84000.0,86000.0,84000.0
3088,HPG,2022-01-06,46100.0,46500.0,46700.0,46100.0
3089,POW,2022-01-06,19250.0,18850.0,19800.0,18850.0
3090,TCB,2022-01-05,50500.0,50900.0,51200.0,50300.0
3091,FPT,2022-01-05,93600.0,93700.0,94200.0,93500.0
3092,HPG,2022-01-05,46800.0,46900.0,47350.0,46800.0
3093,POW,2022-01-05,19000.0,19200.0,19950.0,19000.0
3094,VHM,2022-01-05,84000.0,85100.0,85900.0,84000.0
3095,FPT,2022-01-04,93500.0,93400.0,94200.0,93300.0
3096,TCB,2022-01-04,50900.0,50500.0,51200.0,50300.0
3097,POW,2022-01-04,18700.0,17700.0,18700.0,17700.0
3098,HPG,2022-01-04,46750.0,46800.0,47200.0,46600.0
3099,VHM,2022-01-04,85100.0,82700.0,85400.0,82500.0
3100,VHM,2021-12-31,82000.0,82000.0,82300.0,81600.0
3101,HPG,2021-12-31,46400.0,46000.0,46650.0,45850.0
3102,TCB,2021-12-31,50000.0,49500.0,50500.0,49450.0
3103,FPT,2021-12-31,93000.0,93800.0,94400.0,93000.0
3104,POW,2021-12-31,17500.0,17450.0,17900.0,17300.0
3105,VHM,2021-12-30,81600.0,82400.0,82400.0,81600.0
3106,TCB,2021-12-30,49300.0,49200.0,49750.0,49000.0
3107,HPG,2021-12-30,45700.0,46300.0,46300.0,45700.0
3108,FPT,2021-12-30,93600.0,93700.0,94300.0,93500.0
3109,POW,2021-12-30,17450.0,18000.0,18300.0,17350.0
3110,FPT,2021-12-29,93600.0,94800.0,94800.0,93600.0
3111,VHM,2021-12-29,81700.0,82900.0,83500.0,81700.0
3112,TCB,2021-12-29,49100.0,49150.0,49650.0,49000.0
3113,POW,2021-12-29,18000.0,18100.0,18700.0,17850.0
3114,HPG,2021-12-29,45800.0,45800.0,46300.0,45500.0
3115,TCB,2021-12-28,49150.0,49250.0,49350.0,48700.0
3116,FPT,2021-12-28,94500.0,94500.0,94900.0,94100.0
3117,HPG,2021-12-28,45800.0,45900.0,46700.0,45600.0
3118,VHM,2021-12-28,82800.0,83000.0,84200.0,82600.0
3119,POW,2021-12-28,18350.0,18450.0,19200.0,18000.0
3120,FPT,2021-12-27,94500.0,94200.0,95000.0,93300.0
3121,HPG,2021-12-27,45900.0,46550.0,46600.0,45550.0
3122,TCB,2021-12-27,48850.0,49400.0,49400.0,48500.0
3123,VHM,2021-12-27,82800.0,83100.0,83500.0,81500.0
3124,POW,2021-12-27,18450.0,17050.0,18450.0,16500.0
3125,HPG,2021-12-24,46050.0,45300.0,46650.0,45250.0
3126,POW,2021-12-24,17250.0,18150.0,18350.0,17250.0
3127,TCB,2021-12-24,48900.0,47450.0,49150.0,47450.0
3128,VHM,2021-12-24,82900.0,82700.0,83300.0,82200.0
3129,FPT,2021-12-24,93800.0,93500.0,94500.0,92800.0
3130,TCB,2021-12-23,47350.0,48850.0,48850.0,47300.0
3131,VHM,2021-12-23,82500.0,85900.0,86100.0,82500.0
3132,FPT,2021-12-23,93200.0,95000.0,95000.0,93000.0
3133,HPG,2021-12-23,44950.0,45100.0,45100.0,44100.0
3134,POW,2021-12-23,18500.0,19000.0,19350.0,17800.0
3135,POW,2021-12-22,19000.0,18950.0,19500.0,18700.0
3136,TCB,2021-12-22,48900.0,49300.0,49500.0,48300.0
3137,HPG,2021-12-22,45100.0,46300.0,46500.0,45100.0
3138,FPT,2021-12-22,95000.0,95000.0,95400.0,94600.0
3139,VHM,2021-12-22,85700.0,86800.0,87500.0,85200.0
3140,TCB,2021-12-21,49250.0,49500.0,49700.0,49200.0
3141,HPG,2021-12-21,46100.0,46900.0,46950.0,46100.0
3142,VHM,2021-12-21,86000.0,83500.0,86800.0,83500.0
3143,FPT,2021-12-21,95200.0,95700.0,95900.0,95100.0
3144,POW,2021-12-21,18700.0,18100.0,19500.0,17950.0
3145,POW,2021-12-20,18250.0,17200.0,18250.0,16800.0
3146,TCB,2021-12-20,49500.0,49850.0,50000.0,49350.0
3147,FPT,2021-12-20,95800.0,96500.0,96500.0,95500.0
3148,HPG,2021-12-20,46900.0,46700.0,47350.0,46500.0
3149,VHM,2021-12-20,83500.0,85200.0,85200.0,83300.0
3150,POW,2021-12-17,17100.0,17500.0,18000.0,17100.0
3151,HPG,2021-12-17,46700.0,47350.0,47550.0,46600.0
3152,TCB,2021-12-17,49850.0,50000.0,50100.0,49800.0
3153,VHM,2021-12-17,84500.0,82400.0,86000.0,82400.0
3154,FPT,2021-12-17,96400.0,95600.0,97000.0,95500.0
3155,POW,2021-12-16,17200.0,16050.0,17200.0,16000.0
3156,VHM,2021-12-16,82300.0,82800.0,82800.0,81700.0
3157,FPT,2021-12-16,95500.0,97500.0,97500.0,95500.0
3158,HPG,2021-12-16,47500.0,48100.0,48100.0,47300.0
3159,TCB,2021-12-16,49850.0,50500.0,50500.0,49850.0
3160,TCB,2021-12-15,50200.0,50300.0,50800.0,49950.0
3161,POW,2021-12-15,16100.0,16600.0,16800.0,16100.0
3162,FPT,2021-12-15,95900.0,95700.0,96300.0,95600.0
3163,VHM,2021-12-15,82600.0,82200.0,82900.0,81600.0
3164,HPG,2021-12-15,47800.0,48000.0,48600.0,47700.0
3165,VHM,2021-12-14,82100.0,82500.0,83000.0,81900.0
3166,TCB,2021-12-14,50100.0,50000.0,50800.0,49850.0
3167,POW,2021-12-14,16600.0,16100.0,16950.0,15950.0
3168,HPG,2021-12-14,47700.0,46550.0,49100.0,46200.0
3169,FPT,2021-12-14,95700.0,96000.0,96400.0,95400.0
3170,TCB,2021-12-13,50000.0,50300.0,50400.0,49950.0
3171,POW,2021-12-13,16200.0,16250.0,16550.0,15950.0
3172,HPG,2021-12-13,46550.0,46550.0,47150.0,46300.0
3173,VHM,2021-12-13,82100.0,81000.0,83500.0,80900.0
3174,FPT,2021-12-13,96000.0,96500.0,96500.0,95600.0
3175,TCB,2021-12-10,50200.0,50500.0,50900.0,50100.0
3176,FPT,2021-12-10,95800.0,96400.0,97000.0,95400.0
3177,VHM,2021-12-10,80900.0,81300.0,81600.0,80600.0
3178,POW,2021-12-10,16250.0,15400.0,16350.0,15250.0
3179,HPG,2021-12-10,46500.0,47050.0,47200.0,46400.0
